City,Country,Venue,Tour,Revenue,Tickets_Sold,Tickets_Available
Evansville,United States,Roberts Municipal Stadium,Fearless_Tour,360617,7463,7463
Jonesboro,United States,Convocation Center,Fearless_Tour,340328,7822,7822
St. Louis,United States,Scottrade Center,Fearless_Tour,650420,13764,13764
North Charleston,United States,North Charleston Coliseum,Fearless_Tour,398154,8751,8751
Jacksonville,United States,Jacksonville Veterans Memorial Arena,Fearless_Tour,507012,11072,11072
Biloxi,United States,Mississippi Coast Coliseum,Fearless_Tour,437313,9436,9436
London,England,Shepherd's Bush Empire,Fearless_Tour,401328,6789,6789
London,England,Shepherd's Bush Empire,Fearless_Tour,401328,6789,6789
Spokane,United States,Spokane Arena,Fearless_Tour,482146,10798,10798
Seattle,United States,KeyArena,Fearless_Tour,528637,12061,12061
Portland,United States,Rose Garden Arena,Fearless_Tour,613284,13226,13226
Nampa,United States,Ford Arena,Fearless_Tour,413622,8970,8970
Glendale,United States,Jobing.com Arena,Fearless_Tour,647923,13052,13052
Los Angeles,United States,Staples Center,Fearless_Tour,720940,13648,13648
Paradise,United States,Mandalay Bay Events Center,Fearless_Tour,551051,8311,8311
San Diego,United States,Valley View Casino Center,Fearless_Tour,502689,10174,10174
Salt Lake City,United States,EnergySolutions Arena,Fearless_Tour,555207,13042,13042
Columbia,United States,Merriweather Post Pavilion,Fearless_Tour,608438,17619,17619
Greensboro,United States,Greensboro Coliseum,Fearless_Tour,690959,14641,14641
Edmonton,Canada,Commonwealth Stadium,Fearless_Tour,2540906,33910,44500
Winnipeg,Canada,MTS Centre,Fearless_Tour,512487,11369,11369
New York City,United States,Madison Square Garden,Fearless_Tour,976062,13597,13597
Montville,United States,Mohegan Sun Arena,Fearless_Tour,296306,7507,7507
Nashville,United States,Bridgestone Arena,Fearless_Tour,642387,14269,14269
Dallas,United States,American Airlines Center,Fearless_Tour,628062,13794,13794
North Little Rock,United States,Verizon Arena,Fearless_Tour,654089,13978,13978
Cleveland,United States,Quicken Loans Arena,Fearless_Tour,743492,15524,15524
Indianapolis,United States,Conseco Fieldhouse,Fearless_Tour,634876,13373,13373
Rosemont,United States,Allstate Arena,Fearless_Tour,1150896,26265,26265
Rosemont,United States,Allstate Arena,Fearless_Tour,1150896,26265,26265
Minneapolis,United States,Target Center,Fearless_Tour,623975,13563,13563
Brisbane,Australia,Brisbane Entertainment Centre,Fearless_Tour,956505,11334,11334
Sydney,Australia,Acer Arena,Fearless_Tour,2030640,27030,27030
Sydney,Australia,Acer Arena,Fearless_Tour,2030640,27030,27030
Newcastle,Australia,Newcastle Entertainment Centre,Fearless_Tour,555396,7180,7180
Melbourne,Australia,Rod Laver Arena,Fearless_Tour,1627510,23493,23493
Melbourne,Australia,Rod Laver Arena,Fearless_Tour,1627510,23493,23493
Adelaide,Australia,Adelaide Entertainment Centre,Fearless_Tour,585352,9066,9066
Tampa,United States,St. Pete Times Forum,Fearless_Tour,793049,13861,13861
Orlando,United States,Amway Arena,Fearless_Tour,598581,11101,11101
Sunrise,United States,BankAtlantic Center,Fearless_Tour,777442,13453,13453
Austin,United States,Frank Erwin Center,Fearless_Tour,642705,11928,11928
Dallas,United States,American Airlines Center,Fearless_Tour,742954,14022,14022
Corpus Christi,United States,American Bank Center Arena,Fearless_Tour,501169,8423,8423
Philadelphia,United States,Wells Fargo Center,Fearless_Tour,2002321,30360,30360
Philadelphia,United States,Wells Fargo Center,Fearless_Tour,2002321,30360,30360
Charlottesville,United States,John Paul Jones Arena,Fearless_Tour,664305,11858,11858
Auburn Hills,United States,The Palace of Auburn Hills,Fearless_Tour,1711591,29125,29125
Auburn Hills,United States,The Palace of Auburn Hills,Fearless_Tour,1711591,29125,29125
Cincinnati,United States,U.S. Bank Arena,Fearless_Tour,645592,11208,11208
Oklahoma City,United States,Ford Center,Fearless_Tour,675184,11795,11795
Wichita,United States,Intrust Bank Arena,Fearless_Tour,610801,11208,11208
Kansas City,United States,Sprint Center,Fearless_Tour,761110,13781,13781
Denver,United States,Pepsi Center,Fearless_Tour,1497135,25991,25991
Denver,United States,Pepsi Center,Fearless_Tour,1497135,25991,25991
Fresno,United States,Save Mart Center,Fearless_Tour,649488,11706,11706
San Jose,United States,HP Pavilion,Fearless_Tour,716726,12744,12744
Los Angeles,United States,Staples Center,Fearless_Tour,1736197,27518,27518
Los Angeles,United States,Staples Center,Fearless_Tour,1736197,27518,27518
Lexington,United States,Rupp Arena,Fearless_Tour,1024223,17966,17966
Columbia,United States,Colonial Life Arena,Fearless_Tour,755475,13429,13429
Raleigh,United States,RBC Center,Fearless_Tour,752303,13895,13895
Des Moines,United States,Wells Fargo Arena,Fearless_Tour,738280,13264,13264
Saint Paul,United States,Xcel Energy Center,Fearless_Tour,846111,14914,14914
Moline,United States,iWireless Center,Fearless_Tour,610668,10641,10641
Newark,United States,Prudential Center,Fearless_Tour,1742669,26065,26065
Newark,United States,Prudential Center,Fearless_Tour,1742669,26065,26065
Uniondale,United States,Nassau Veterans Memorial Coliseum,Fearless_Tour,1713529,25831,25831
Uniondale,United States,Nassau Veterans Memorial Coliseum,Fearless_Tour,1713529,25831,25831
Ottawa,Canada,Scotiabank Place,Fearless_Tour,873206,13376,13376
Toronto,Canada,Air Canada Centre,Fearless_Tour,2497690,30458,30458
Toronto,Canada,Air Canada Centre,Fearless_Tour,2497690,30458,30458
Houston,United States,Toyota Center,Fearless_Tour,1290926,23493,23493
Houston,United States,Toyota Center,Fearless_Tour,1290926,23493,23493
Washington,United States,Verizon Center,Fearless_Tour,1824743,27290,27290
Washington,United States,Verizon Center,Fearless_Tour,1824743,27290,27290
Foxborough,United States,Gillette Stadium,Fearless_Tour,3726157,56868,56868
Cavendish,Canada,Cavendish Beach Festival Grounds,Fearless_Tour,0,35000,35000
Singapore,Singapore,Singapore Indoor Stadium,Speak_Now_World_Tour,916850,8964,8964
Seoul,South Korea,Olympic Gymnastics Arena,Speak_Now_World_Tour,385374,4725,4725
Osaka,Japan,Osaka-Jo Hall,Speak_Now_World_Tour,758113,6953,6953
Tokyo,Japan,Nippon Budokan,Speak_Now_World_Tour,1738227,15955,15955
Tokyo,Japan,Nippon Budokan,Speak_Now_World_Tour,1738227,15955,15955
Quezon City,Philippines,Smart Araneta Coliseum,Speak_Now_World_Tour,859037,12667,12667
Hong Kong,Hong Kong,AsiaWorldArena,Speak_Now_World_Tour,1030633,12573,12573
Brussels,Belgium,Forest National,Speak_Now_World_Tour,219212,4622,4622
Rotterdam,Netherlands,Sportpaleis van Ahoy,Speak_Now_World_Tour,248314,4799,4799
Oslo,Norway,Oslo Spektrum,Speak_Now_World_Tour,815246,8650,8650
Oberhausen,Germany,König Pilsener Arena,Speak_Now_World_Tour,370028,6082,6082
